type,time,latitude,longitude,altitude (m),speed (km/h),course,slope (%),distance (km),distance_interval (m),color,opacity,width,name,desc,activity
T,2022-03-12 21:07:32,-33.601158300,-70.519901480,781.8,1.9,3.1,,0.000,,#0000ff,1.00,4,12 mar. 2022 6:07:30 p. m.,<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>comment</b></td><td></td></tr><tr><td><b>activity</b></td><td>0</td></tr></table>,0
T,2022-03-12 21:09:00,-33.601148250,-70.520014020,781.8,0.4,4.7,0.0,0.011,10.50,,,,,,
T,2022-03-12 21:09:05,-33.601141380,-70.520156850,781.5,9.6,4.6,-2.4,0.024,13.28,,,,,,
T,2022-03-12 21:09:08,-33.601170530,-70.520283770,781.1,14.7,4.7,-3.4,0.036,12.22,,,,,,
T,2022-03-12 21:09:11,-33.601175500,-70.520451020,780.7,18.6,4.7,-2.7,0.052,15.53,,,,,,
T,2022-03-12 21:09:13,-33.601197320,-70.520581630,780.3,22.3,4.7,-3.2,0.064,12.36,,,,,,
T,2022-03-12 21:09:15,-33.601212700,-70.520722380,779.9,23.7,4.7,-3.0,0.077,13.17,,,,,,
T,2022-03-12 21:09:17,-33.601214850,-70.520868750,779.5,24.5,4.7,-2.8,0.091,13.59,,,,,,
T,2022-03-12 21:09:19,-33.601211620,-70.521028980,779.0,26.8,4.7,-3.3,0.106,14.88,,,,,,
T,2022-03-12 21:09:21,-33.601210380,-70.521219980,778.4,31.9,4.7,-3.4,0.123,17.73,,,,,,
T,2022-03-12 21:09:23,-33.601218830,-70.521408770,777.8,31.6,4.7,-3.5,0.141,17.55,,,,,,
T,2022-03-12 21:09:25,-33.601227850,-70.521620100,777.1,35.4,4.7,-3.4,0.160,19.64,,,,,,
T,2022-03-12 21:09:27,-33.601221300,-70.521828180,776.8,34.8,4.7,-1.7,0.180,19.33,,,,,,
T,2022-03-12 21:09:28,-33.601220930,-70.521939970,776.7,37.4,4.7,-1.2,0.190,10.38,,,,,,
T,2022-03-12 21:09:29,-33.601228030,-70.522055650,776.6,38.8,4.7,-1.3,0.201,10.77,,,,,,
T,2022-03-12 21:09:30,-33.601233480,-70.522173000,776.4,39.3,4.7,-1.3,0.212,10.91,,,,,,
T,2022-03-12 21:09:31,-33.601246520,-70.522293950,776.3,40.7,4.7,-1.4,0.223,11.32,,,,,,
T,2022-03-12 21:09:32,-33.601255070,-70.522416650,776.1,41.1,4.7,-1.4,0.235,11.43,,,,,,
T,2022-03-12 21:09:33,-33.601261850,-70.522544580,776.0,42.8,4.7,-0.4,0.246,11.90,,,,,,
T,2022-03-12 21:09:34,-33.601272780,-70.522676050,776.2,44.1,4.7,1.4,0.259,12.26,,,,,,
T,2022-03-12 21:09:35,-33.601286450,-70.522811220,776.4,45.5,4.7,1.1,0.271,12.64,,,,,,
T,2022-03-12 21:09:36,-33.601297880,-70.522944350,776.5,44.7,4.7,0.9,0.284,12.42,,,,,,
T,2022-03-12 21:09:37,-33.601301980,-70.523083450,776.6,46.5,4.7,1.2,0.297,12.92,,,,,,
T,2022-03-12 21:09:38,-33.601303750,-70.523225930,776.8,47.6,4.7,1.2,0.310,13.23,,,,,,
T,2022-03-12 21:09:39,-33.601302880,-70.523372630,776.9,49.0,4.7,0.5,0.324,13.62,,,,,,
T,2022-03-12 21:09:40,-33.601314870,-70.523532170,776.4,53.5,4.7,-2.9,0.338,14.87,,,,,,
T,2022-03-12 21:09:41,-33.601322330,-70.523692080,776.0,53.5,4.7,-2.6,0.353,14.86,,,,,,
T,2022-03-12 21:09:42,-33.601324730,-70.523850730,775.7,53.0,4.7,-2.2,0.368,14.73,,,,,,
T,2022-03-12 21:09:43,-33.601324680,-70.524007120,775.4,52.3,4.7,-2.1,0.383,14.52,,,,,,
T,2022-03-12 21:09:44,-33.601330020,-70.524166920,775.0,53.4,4.7,-2.5,0.397,14.84,,,,,,
T,2022-03-12 21:09:45,-33.601336420,-70.524330030,775.0,54.6,4.6,-0.5,0.413,15.16,,,,,,
T,2022-03-12 21:09:46,-33.601337350,-70.524491850,774.9,54.1,4.7,-0.1,0.428,15.02,,,,,,
T,2022-03-12 21:09:47,-33.601339680,-70.524658250,774.9,55.6,4.7,-0.3,0.443,15.45,,,,,,
T,2022-03-12 21:09:48,-33.601340370,-70.524800170,774.9,47.4,4.7,-0.1,0.456,13.17,,,,,,
T,2022-03-12 21:09:49,-33.601353550,-70.524936580,774.6,45.9,4.7,-1.9,0.469,12.74,,,,,,
T,2022-03-12 21:09:50,-33.601370650,-70.525045780,774.2,37.1,4.7,-3.8,0.479,10.31,,,,,,
T,2022-03-12 21:09:51,-33.601370200,-70.525167230,774.1,40.6,4.7,-1.8,0.490,11.27,,,,,,
T,2022-03-12 21:09:52,-33.601364830,-70.525296450,773.9,43.2,4.7,-1.1,0.502,12.01,,,,,,
T,2022-03-12 21:09:53,-33.601365420,-70.525426150,773.7,43.3,4.7,-2.0,0.515,12.04,,,,,,
T,2022-03-12 21:09:54,-33.601363520,-70.525556070,773.5,43.4,4.7,-1.6,0.527,12.06,,,,,,
T,2022-03-12 21:09:55,-33.601362180,-70.525687130,773.3,43.8,4.7,-1.7,0.539,12.17,,,,,,
T,2022-03-12 21:09:56,-33.601356650,-70.525806150,773.1,39.8,4.7,-1.2,0.550,11.06,,,,,,
T,2022-03-12 21:09:58,-33.601370670,-70.525997270,773.2,32.1,4.5,0.4,0.568,17.81,,,,,,
T,2022-03-12 21:10:00,-33.601403800,-70.526184430,773.2,32.0,4.4,-0.1,0.585,17.76,,,,,,
T,2022-03-12 21:10:02,-33.601467800,-70.526350170,772.9,30.5,4.2,-1.8,0.602,16.94,,,,,,
T,2022-03-12 21:10:04,-33.601573780,-70.526512680,772.3,34.4,3.9,-3.1,0.621,19.12,,,,,,
T,2022-03-12 21:10:05,-33.601648070,-70.526582130,771.9,37.7,3.7,-4.3,0.632,10.46,,,,,,
T,2022-03-12 21:10:06,-33.601736930,-70.526625900,771.8,38.4,3.5,-0.6,0.643,10.66,,,,,,
T,2022-03-12 21:10:07,-33.601832030,-70.526642800,771.8,38.4,3.3,-0.4,0.653,10.66,,,,,,
T,2022-03-12 21:10:08,-33.601940170,-70.526663970,771.7,43.8,3.2,-0.7,0.665,12.15,,,,,,
T,2022-03-12 21:10:09,-33.602053130,-70.526673980,771.5,45.2,3.0,-1.0,0.678,12.56,,,,,,
T,2022-03-12 21:10:10,-33.602151000,-70.526640680,771.4,40.6,2.7,-1.0,0.689,11.29,,,,,,
T,2022-03-12 21:10:11,-33.602239570,-70.526588780,771.4,39.4,2.4,-0.1,0.700,10.94,,,,,,
T,2022-03-12 21:10:12,-33.602307630,-70.526506850,771.5,38.6,2.3,1.1,0.711,10.71,,,,,,
T,2022-03-12 21:10:13,-33.602365320,-70.526413050,771.8,38.9,2.2,2.2,0.722,10.80,,,,,,
T,2022-03-12 21:10:14,-33.602422870,-70.526310200,772.1,41.3,2.0,3.1,0.733,11.48,,,,,,
T,2022-03-12 21:10:15,-33.602435130,-70.526201920,772.5,36.5,1.8,3.5,0.743,10.14,,,,,,
T,2022-03-12 21:10:16,-33.602420230,-70.526072930,772.8,43.5,1.7,2.8,0.755,12.09,,,,,,
T,2022-03-12 21:10:17,-33.602416800,-70.525959450,773.1,37.9,1.6,3.0,0.766,10.54,,,,,,
T,2022-03-12 21:10:18,-33.602409650,-70.525849980,773.4,36.7,1.5,2.7,0.776,10.19,,,,,,
T,2022-03-12 21:10:20,-33.602409700,-70.525653320,772.9,32.9,1.5,-2.9,0.794,18.25,,,,,,
T,2022-03-12 21:10:22,-33.602384180,-70.525460250,772.1,32.7,1.5,-4.0,0.813,18.14,,,,,,
T,2022-03-12 21:10:24,-33.602386200,-70.525284150,771.6,29.4,1.5,-3.3,0.829,16.35,,,,,,
T,2022-03-12 21:10:26,-33.602386680,-70.525117400,771.1,27.9,1.5,-3.3,0.844,15.48,,,,,,
T,2022-03-12 21:10:28,-33.602373800,-70.524928730,770.6,31.6,1.5,-2.5,0.862,17.57,,,,,,
T,2022-03-12 21:10:30,-33.602361520,-70.524742780,770.5,31.2,1.5,-0.8,0.879,17.31,,,,,,
T,2022-03-12 21:10:32,-33.602354220,-70.524533030,770.4,35.1,1.6,-0.7,0.899,19.48,,,,,,
T,2022-03-12 21:10:33,-33.602347700,-70.524418670,770.3,38.3,1.7,-0.6,0.909,10.64,,,,,,
T,2022-03-12 21:10:35,-33.602379530,-70.524254180,770.2,28.2,1.8,-0.7,0.925,15.67,,,,,,
T,2022-03-12 21:10:37,-33.602407630,-70.524099500,770.2,26.4,2.0,-0.0,0.940,14.69,,,,,,
T,2022-03-12 21:10:39,-33.602478580,-70.523998250,770.2,22.1,2.4,0.3,0.952,12.26,,,,,,
T,2022-03-12 21:10:41,-33.602575580,-70.523936970,771.1,21.9,2.5,7.5,0.964,12.17,,,,,,
T,2022-03-12 21:10:43,-33.602700350,-70.523869870,772.6,27.3,2.6,9.4,0.979,15.18,,,,,,
T,2022-03-12 21:10:45,-33.602838570,-70.523783820,774.0,31.1,2.6,8.2,0.997,17.29,,,,,,
T,2022-03-12 21:10:47,-33.602968950,-70.523696600,775.2,29.8,2.5,7.1,1.013,16.57,,,,,,
T,2022-03-12 21:10:49,-33.603095250,-70.523613330,776.1,28.8,2.6,6.1,1.029,16.00,,,,,,
T,2022-03-12 21:10:51,-33.603231170,-70.523522730,777.0,31.1,2.6,5.1,1.046,17.26,,,,,,
T,2022-03-12 21:10:53,-33.603369000,-70.523422600,777.3,32.2,2.5,1.3,1.064,17.89,,,,,,
T,2022-03-12 21:10:55,-33.603486430,-70.523314200,776.2,29.6,2.4,-6.6,1.081,16.46,,,,,,
T,2022-03-12 21:10:57,-33.603575570,-70.523188000,775.2,27.6,2.3,-6.4,1.096,15.33,,,,,,
T,2022-03-12 21:10:59,-33.603666070,-70.523056170,774.1,28.5,2.1,-6.8,1.112,15.83,,,,,,
T,2022-03-12 21:11:01,-33.603715550,-70.522893700,773.1,28.9,2.0,-6.5,1.128,16.05,,,,,,
T,2022-03-12 21:11:03,-33.603742450,-70.522721600,772.1,29.2,1.8,-6.1,1.144,16.25,,,,,,
T,2022-03-12 21:11:05,-33.603748580,-70.522544950,771.2,29.5,1.7,-5.4,1.161,16.41,,,,,,
T,2022-03-12 21:11:07,-33.603744670,-70.522362920,771.0,30.4,1.4,-1.1,1.178,16.90,,,,,,
T,2022-03-12 21:11:09,-33.603716280,-70.522192820,771.2,29.0,1.3,1.1,1.194,16.10,,,,,,
T,2022-03-12 21:11:11,-33.603668530,-70.522025420,771.5,29.5,1.2,1.6,1.210,16.41,,,,,,
T,2022-03-12 21:11:13,-33.603597250,-70.521861380,771.8,30.9,1.1,2.0,1.227,17.16,,,,,,
T,2022-03-12 21:11:15,-33.603518570,-70.521712020,772.1,29.5,0.9,2.0,1.244,16.38,,,,,,
T,2022-03-12 21:11:17,-33.603421280,-70.521597250,773.1,27.3,0.8,6.4,1.259,15.16,,,,,,
T,2022-03-12 21:11:19,-33.603328450,-70.521495720,774.4,25.1,0.7,9.4,1.273,13.96,,,,,,
T,2022-03-12 21:11:21,-33.603249630,-70.521390250,775.2,23.6,0.8,5.8,1.286,13.12,,,,,,
T,2022-03-12 21:11:23,-33.603167150,-70.521289120,775.8,23.6,0.8,4.7,1.299,13.11,,,,,,
T,2022-03-12 21:11:25,-33.603083970,-70.521193400,776.3,23.1,0.7,3.8,1.312,12.81,,,,,,
T,2022-03-12 21:11:27,-33.603002380,-70.521107250,776.6,21.7,0.7,2.8,1.324,12.08,,,,,,
T,2022-03-12 21:11:29,-33.602912150,-70.521021000,776.9,23.1,0.8,1.7,1.337,12.82,,,,,,
T,2022-03-12 21:11:31,-33.602832200,-70.520939480,777.0,21.0,0.7,1.3,1.348,11.66,,,,,,
T,2022-03-12 21:11:33,-33.602739680,-70.520854250,777.0,23.3,0.7,0.3,1.361,12.96,,,,,,
T,2022-03-12 21:11:35,-33.602642930,-70.520751180,777.1,25.9,0.7,0.2,1.376,14.38,,,,,,
T,2022-03-12 21:11:37,-33.602558320,-70.520634150,777.2,25.8,0.8,1.1,1.390,14.35,,,,,,
T,2022-03-12 21:11:39,-33.602468450,-70.520521230,777.5,26.0,0.7,2.1,1.404,14.46,,,,,,
T,2022-03-12 21:11:41,-33.602402000,-70.520431700,778.0,20.0,0.7,4.5,1.416,11.11,,,,,,
T,2022-03-12 21:11:43,-33.602308880,-70.520341850,778.5,23.9,0.7,3.7,1.429,13.27,,,,,,
T,2022-03-12 21:11:45,-33.602228530,-70.520246370,779.0,22.6,0.8,3.7,1.441,12.57,,,,,,
T,2022-03-12 21:11:47,-33.602156800,-70.520162030,779.4,20.1,0.9,3.3,1.453,11.16,,,,,,
T,2022-03-12 21:11:49,-33.602094950,-70.520070380,779.7,19.7,0.9,3.3,1.464,10.93,,,,,,
T,2022-03-12 21:11:51,-33.602028580,-70.519950050,780.1,24.1,1.0,2.5,1.477,13.38,,,,,,
T,2022-03-12 21:11:53,-33.601957150,-70.519820880,780.2,25.9,1.1,1.0,1.491,14.37,,,,,,
T,2022-03-12 21:11:55,-33.601898830,-70.519684170,780.3,25.6,1.0,0.6,1.505,14.24,,,,,,
T,2022-03-12 21:11:57,-33.601835330,-70.519562580,780.3,23.9,1.1,0.0,1.519,13.30,,,,,,
T,2022-03-12 21:11:59,-33.601763850,-70.519433600,780.2,25.8,0.9,-0.6,1.533,14.36,,,,,,
T,2022-03-12 21:12:01,-33.601653850,-70.519331400,780.0,27.8,0.6,-1.2,1.549,15.45,,,,,,
T,2022-03-12 21:12:03,-33.601536950,-70.519275080,780.5,25.2,0.3,3.0,1.563,13.98,,,,,,
T,2022-03-12 21:12:05,-33.601398000,-70.519252600,781.0,28.0,6.2,3.2,1.578,15.55,,,,,,
T,2022-03-12 21:12:07,-33.601270480,-70.519309150,781.4,27.2,5.9,3.0,1.593,15.09,,,,,,
T,2022-03-12 21:12:09,-33.601170730,-70.519422000,781.8,27.4,5.6,2.4,1.608,15.24,,,,,,
T,2022-03-12 21:12:11,-33.601087770,-70.519562980,782.1,28.8,5.4,1.9,1.624,16.00,,,,,,
T,2022-03-12 21:12:13,-33.601041620,-70.519714230,782.2,26.9,5.1,1.1,1.639,14.94,,,,,,
T,2022-03-12 21:12:15,-33.601047630,-70.519889050,782.2,29.2,4.7,-0.1,1.656,16.24,,,,,,
T,2022-03-12 21:12:20,-33.601056970,-70.520005320,782.2,7.8,4.6,-0.4,1.666,10.84,,,,,,
